Gender,Age,Education
Female,36 to 45 years old,Technical school diploma or degree completed
Male,18 to 25 years old,Technical school diploma or degree completed
Female,18 to 25 years old,Secondary school/ high school completed
Female,Not Available,Secondary/high school
Male,18 to 25 years old,Some university or college
Female,18 to 25 years old,Secondary school/ high school completed
Female,18 to 25 years old,Secondary school/ high school completed
Female,26 to 35 years old,University or college degree completed
Female,26 to 35 years old,Secondary school/ high school completed
Female,26 to 35 years old,University or college degree completed
Male,18 to 25 years old,Technical school diploma or degree completed
Male,36 to 45 years old,Technical school diploma or degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,36 to 45 years old,University or college degree completed
Female,Over 45 years old,Post-graduate education
Female,36 to 45 years old,Technical school diploma or degree completed
Male,26 to 35 years old,University or college degree completed
Male,26 to 35 years old,Secondary school/ high school completed
Female,18 to 25 years old,University or college degree completed
Male,18 to 25 years old,University or college degree completed
Female,18 to 25 years old,Some university or college
Female,18 to 25 years old,Secondary school/ high school completed
Male,26 to 35 years old,Some university or college
Female,18 to 25 years old,Secondary school/ high school completed
Prefer not to answer,18 to 25 years old,Secondary school/ high school completed
Male,18 to 25 years old,Secondary school/ high school completed
Male,26 to 35 years old,University or college degree completed
Male,26 to 35 years old,Primary school completed
Female,18 to 25 years old,University or college degree completed
Male,Over 45 years old,Post-graduate education
Male,Not Available,Post graduate
Female,18 to 25 years old,University or college degree completed
Male,26 to 35 years old,Some technical education (e.g polytechnic school)
Female,Over 45 years old,Post-graduate education
Female,36 to 45 years old,Some university or college
Male,Not Available,Technical school
Male,36 to 45 years old,Secondary school/ high school completed
Female,Under 18,Some technical education (e.g polytechnic school)
Female,26 to 35 years old,Prefer not to answer
Male,Not Available,Technical school
Male,18 to 25 years old,Some secondary school / high school
Female,Not Available,Post graduate
Male,18 to 25 years old,Some secondary school / high school
Male,36 to 45 years old,University or college degree completed
Male,36 to 45 years old,Some secondary school / high school
Female,Not Available,College or university
Male,18 to 25 years old,Some secondary school / high school
Female,26 to 35 years old,Post-graduate education
Female,18 to 25 years old,Technical school diploma or degree completed
Female,36 to 45 years old,University or college degree completed
Female,18 to 25 years old,Secondary school/ high school completed
Male,36 to 45 years old,Post-graduate education
Male,Not Available,Post graduate
Male,Over 45 years old,Post-graduate education
Male,26 to 35 years old,Technical school diploma or degree completed
Male,36 to 45 years old,University or college degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,26 to 35 years old,Some technical education (e.g polytechnic school)
Male,18 to 25 years old,Some university or college
Male,Not Available,College or university
Female,36 to 45 years old,Technical school diploma or degree completed
Female,18 to 25 years old,University or college degree completed
Male,36 to 45 years old,Technical school diploma or degree completed
Female,26 to 35 years old,Post-graduate education
Female,26 to 35 years old,University or college degree completed
Male,36 to 45 years old,Some technical education (e.g polytechnic school)
Male,18 to 25 years old,Prefer not to answer
Female,26 to 35 years old,Technical school diploma or degree completed
Female,Not Available,Technical school
Male,Not Available,College or university
Male,Over 45 years old,Technical school diploma or degree completed
Female,18 to 25 years old,University or college degree completed
Female,Over 45 years old,Technical school diploma or degree completed
Female,Not Available,College or university
Male,36 to 45 years old,University or college degree completed
Prefer not to answer,26 to 35 years old,University or college degree completed
Male,26 to 35 years old,University or college degree completed
Female,Not Available,Secondary/high school
Male,Not Available,Secondary/high school
Male,26 to 35 years old,No formal education
Male,18 to 25 years old,Some university or college
Female,26 to 35 years old,University or college degree completed
Male,Over 45 years old,Primary school completed
Female,Under 18,Secondary school/ high school completed
Female,18 to 25 years old,Some university or college
Male,36 to 45 years old,University or college degree completed
Male,18 to 25 years old,University or college degree completed
Male,Not Available,Primary school
Female,Not Available,College or university
Female,Over 45 years old,Secondary school/ high school completed
Male,Under 18,Secondary school/ high school completed
Male,36 to 45 years old,University or college degree completed
Female,Under 18,Secondary school/ high school completed
Female,18 to 25 years old,University or college degree completed
Female,Over 45 years old,Some university or college
Female,Not Available,Secondary/high school
Female,Over 45 years old,University or college degree completed
Male,36 to 45 years old,Technical school diploma or degree completed
Male,26 to 35 years old,Secondary school/ high school completed
Male,Over 45 years old,Technical school diploma or degree completed
Female,Not Available,Technical school
Female,36 to 45 years old,Some secondary school / high school
Male,26 to 35 years old,Secondary school/ high school completed
Female,Not Available,Secondary/high school
Male,26 to 35 years old,Secondary school/ high school completed
Female,36 to 45 years old,University or college degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Male,Over 45 years old,Some primary education
Female,18 to 25 years old,Technical school diploma or degree completed
Female,36 to 45 years old,University or college degree completed
Male,18 to 25 years old,Some technical education (e.g polytechnic school)
Female,26 to 35 years old,University or college degree completed
Prefer not to answer,26 to 35 years old,Some university or college
Male,Under 18,Some university or college
Male,26 to 35 years old,Secondary school/ high school completed
Male,36 to 45 years old,University or college degree completed
Male,Over 45 years old,Secondary school/ high school completed
Prefer not to answer,Not Available,College or university
Male,36 to 45 years old,Post-graduate education
Female,Not Available,Secondary/high school
Female,Not Available,Secondary/high school
Male,Not Available,Technical school
Female,18 to 25 years old,Secondary school/ high school completed
Female,Not Available,College or university
Male,Not Available,Post graduate
Male,36 to 45 years old,Technical school diploma or degree completed
Male,Over 45 years old,Some primary education
Female,18 to 25 years old,Secondary school/ high school completed
Female,Over 45 years old,Secondary school/ high school completed
Male,18 to 25 years old,Some university or college
Male,Not Available,Some secondary school / high school
Male,Not Available,Secondary/high school
Male,Not Available,College or university
Female,Over 45 years old,Secondary school/ high school completed
Female,26 to 35 years old,University or college degree completed
Female,18 to 25 years old,Some university or college
Male,18 to 25 years old,Some university or college
Female,26 to 35 years old,University or college degree completed
Male,18 to 25 years old,Technical school diploma or degree completed
Female,Not Available,College or university
Female,18 to 25 years old,Post-graduate education
Female,36 to 45 years old,Some secondary school / high school
Male,Not Available,Post graduate
Male,26 to 35 years old,Some technical education (e.g polytechnic school)
Female,Not Available,Secondary/high school
Male,Not Available,Secondary/high school
Male,36 to 45 years old,Secondary school/ high school completed
Female,26 to 35 years old,Some university or college
Female,18 to 25 years old,Secondary school/ high school completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,36 to 45 years old,Technical school diploma or degree completed
Female,36 to 45 years old,University or college degree completed
Female,18 to 25 years old,University or college degree completed
Male,Not Available,Technical school
Female,36 to 45 years old,University or college degree completed
Female,26 to 35 years old,Technical school diploma or degree completed
Female,26 to 35 years old,University or college degree completed
Female,18 to 25 years old,Some university or college
Male,Over 45 years old,Some technical education (e.g polytechnic school)
Female,36 to 45 years old,University or college degree completed
Male,26 to 35 years old,Some technical education (e.g polytechnic school)
Male,Not Available,Technical school
Female,Over 45 years old,Primary school completed
Male,Over 45 years old,Some technical education (e.g polytechnic school)
Male,36 to 45 years old,Secondary school/ high school completed
Male,26 to 35 years old,Some university or college
Male,Over 45 years old,Secondary school/ high school completed
Male,36 to 45 years old,University or college degree completed
Female,36 to 45 years old,University or college degree completed
Male,26 to 35 years old,University or college degree completed
Male,36 to 45 years old,University or college degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,26 to 35 years old,University or college degree completed
Female,26 to 35 years old,Some secondary school / high school
Female,26 to 35 years old,Some university or college
Female,26 to 35 years old,Some secondary school / high school
Male,18 to 25 years old,Some university or college
Female,36 to 45 years old,University or college degree completed
Female,18 to 25 years old,Some university or college
Female,18 to 25 years old,Some primary education
Female,26 to 35 years old,University or college degree completed
Female,18 to 25 years old,Technical school diploma or degree completed
Female,Over 45 years old,University or college degree completed
Female,18 to 25 years old,Secondary school/ high school completed
Female,Not Available,Technical school
Male,Over 45 years old,Some secondary school / high school
Female,26 to 35 years old,Technical school diploma or degree completed
Female,18 to 25 years old,Secondary school/ high school completed
Female,18 to 25 years old,University or college degree completed
Male,26 to 35 years old,Some technical education (e.g polytechnic school)
Female,Not Available,Secondary/high school
Male,Under 18,Some university or college
Male,36 to 45 years old,University or college degree completed
Female,26 to 35 years old,University or college degree completed
Female,18 to 25 years old,Secondary school/ high school completed
Male,Not Available,Secondary/high school
Non-Binary,Over 45 years old,Secondary school/ high school completed
Female,36 to 45 years old,University or college degree completed
Female,Not Available,Secondary/high school
Male,Over 45 years old,Some secondary school / high school
Male,26 to 35 years old,University or college degree completed
Female,18 to 25 years old,Some technical education (e.g polytechnic school)
Male,Not Available,College or university
Male,Over 45 years old,Some secondary school / high school
Female,Not Available,College or university
Prefer not to answer,26 to 35 years old,Secondary school/ high school completed
Male,18 to 25 years old,Secondary school/ high school completed
Male,18 to 25 years old,No formal education
Female,18 to 25 years old,Some technical education (e.g polytechnic school)
Female,26 to 35 years old,Secondary school/ high school completed
Female,18 to 25 years old,Secondary school/ high school completed
Male,26 to 35 years old,University or college degree completed
Female,26 to 35 years old,University or college degree completed
Male,36 to 45 years old,University or college degree completed
Male,Not Available,College or university
Male,Not Available,Secondary/high school
Male,18 to 25 years old,Some university or college
Male,36 to 45 years old,Technical school diploma or degree completed
Male,18 to 25 years old,Some university or college
Female,Over 45 years old,Some university or college
Female,Over 45 years old,Some technical education (e.g polytechnic school)
Male,18 to 25 years old,Secondary school/ high school completed
Female,Over 45 years old,Some secondary school / high school
Female,36 to 45 years old,Some technical education (e.g polytechnic school)
Male,Over 45 years old,University or college degree completed
Female,Over 45 years old,Technical school diploma or degree completed
Female,26 to 35 years old,Some university or college
Female,18 to 25 years old,Technical school diploma or degree completed
Female,Over 45 years old,University or college degree completed
Female,36 to 45 years old,Secondary school/ high school completed
Male,Not Available,Post graduate
Male,Not Available,Secondary/high school
Male,Over 45 years old,Post-graduate education
Male,26 to 35 years old,University or college degree completed
Male,26 to 35 years old,Secondary school/ high school completed
Female,Over 45 years old,Secondary school/ high school completed
Female,Not Available,Secondary/high school
Male,Over 45 years old,Technical school diploma or degree completed
Male,18 to 25 years old,Technical school diploma or degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,18 to 25 years old,Secondary school/ high school completed
Male,36 to 45 years old,Secondary school/ high school completed
Female,Not Available,College or university
Female,26 to 35 years old,University or college degree completed
Male,Not Available,College or university
Female,18 to 25 years old,Secondary school/ high school completed
Female,18 to 25 years old,Secondary school/ high school completed
Female,Over 45 years old,Secondary school/ high school completed
Male,18 to 25 years old,University or college degree completed
Male,Not Available,College or university
Female,26 to 35 years old,University or college degree completed
Female,Over 45 years old,Post-graduate education
Male,18 to 25 years old,Secondary school/ high school completed
Female,36 to 45 years old,Some secondary school / high school
Female,18 to 25 years old,University or college degree completed
Female,Not Available,College or university
Male,18 to 25 years old,Some technical education (e.g polytechnic school)
Male,26 to 35 years old,Technical school diploma or degree completed
Female,Not Available,Secondary/high school
Female,26 to 35 years old,University or college degree completed
Female,Not Available,Some secondary school / high school
Female,Not Available,Technical school
Male,36 to 45 years old,Some secondary school / high school
Female,Over 45 years old,Secondary school/ high school completed
Female,Over 45 years old,Some university or college
Female,Over 45 years old,University or college degree completed
Female,Over 45 years old,Secondary school/ high school completed
Female,26 to 35 years old,University or college degree completed
Female,Over 45 years old,University or college degree completed
Male,Over 45 years old,Some secondary school / high school
Female,36 to 45 years old,University or college degree completed
Female,26 to 35 years old,Technical school diploma or degree completed
Male,26 to 35 years old,Some university or college
Female,26 to 35 years old,Post-graduate education
Female,18 to 25 years old,Some university or college
Male,Not Available,College or university
Female,26 to 35 years old,Some university or college
Male,18 to 25 years old,Secondary school/ high school completed
Female,26 to 35 years old,Some university or college
Female,18 to 25 years old,Secondary school/ high school completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,36 to 45 years old,Secondary school/ high school completed
Female,18 to 25 years old,Secondary school/ high school completed
Female,36 to 45 years old,Post-graduate education
Male,26 to 35 years old,Secondary school/ high school completed
Male,18 to 25 years old,University or college degree completed
Male,26 to 35 years old,University or college degree completed
Male,26 to 35 years old,University or college degree completed
Female,Not Available,Technical school
Male,36 to 45 years old,Secondary school/ high school completed
Male,Not Available,College or university
Female,18 to 25 years old,Secondary school/ high school completed
Female,18 to 25 years old,Some university or college
Male,Under 18,Some secondary school / high school
Female,Not Available,Secondary/high school
Female,36 to 45 years old,University or college degree completed
Male,Not Available,College or university
Male,Not Available,College or university
Female,18 to 25 years old,Secondary school/ high school completed
Prefer not to answer,18 to 25 years old,University or college degree completed
Female,Not Available,Secondary/high school
Female,Over 45 years old,University or college degree completed
Male,36 to 45 years old,University or college degree completed
Female,26 to 35 years old,University or college degree completed
Female,26 to 35 years old,University or college degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Male,Over 45 years old,Technical school diploma or degree completed
Male,Over 45 years old,University or college degree completed
Female,Over 45 years old,Some secondary school / high school
Female,26 to 35 years old,University or college degree completed
Female,36 to 45 years old,Technical school diploma or degree completed
Female,26 to 35 years old,Some university or college
Male,Over 45 years old,Post-graduate education
Female,Not Available,College or university
Male,Not Available,Secondary/high school
Male,18 to 25 years old,Secondary school/ high school completed
Male,18 to 25 years old,Some university or college
Female,26 to 35 years old,University or college degree completed
Female,18 to 25 years old,Secondary school/ high school completed
Female,Not Available,Secondary/high school
Female,18 to 25 years old,Some technical education (e.g polytechnic school)
Female,26 to 35 years old,University or college degree completed
Male,18 to 25 years old,Some university or college
Female,18 to 25 years old,Some university or college
Female,18 to 25 years old,University or college degree completed
Female,18 to 25 years old,University or college degree completed
Female,26 to 35 years old,University or college degree completed
Female,26 to 35 years old,Prefer not to answer
Male,Not Available,College or university
Male,Not Available,College or university
Male,Over 45 years old,University or college degree completed
Female,Not Available,College or university
Female,Over 45 years old,University or college degree completed
Male,Over 45 years old,Post-graduate education
Female,Not Available,Technical school
Male,26 to 35 years old,Some technical education (e.g polytechnic school)
Female,Over 45 years old,Post-graduate education
Female,26 to 35 years old,Technical school diploma or degree completed
Male,26 to 35 years old,Secondary school/ high school completed
Female,Over 45 years old,University or college degree completed
Female,18 to 25 years old,Secondary school/ high school completed
Female,18 to 25 years old,Secondary school/ high school completed
Male,Over 45 years old,University or college degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,Over 45 years old,Some university or college
Female,26 to 35 years old,Prefer not to answer
Male,18 to 25 years old,Some technical education (e.g polytechnic school)
Female,Over 45 years old,Secondary school/ high school completed
Female,Over 45 years old,Post-graduate education
Female,Not Available,Secondary/high school
Female,26 to 35 years old,Secondary school/ high school completed
Male,Not Available,College or university
Female,26 to 35 years old,University or college degree completed
Female,36 to 45 years old,University or college degree completed
Male,18 to 25 years old,Some university or college
Male,26 to 35 years old,Technical school diploma or degree completed
Female,Not Available,Technical school
Male,Over 45 years old,Secondary school/ high school completed
Female,Not Available,Secondary/high school
Male,36 to 45 years old,University or college degree completed
Male,Not Available,Technical school
Male,26 to 35 years old,Secondary school/ high school completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,Over 45 years old,University or college degree completed
Female,Over 45 years old,University or college degree completed
Male,Not Available,College or university
Male,26 to 35 years old,Some university or college
Male,18 to 25 years old,Some secondary school / high school
Prefer not to answer,36 to 45 years old,Post-graduate education
Female,18 to 25 years old,Some university or college
Male,26 to 35 years old,University or college degree completed
Male,18 to 25 years old,University or college degree completed
Female,Over 45 years old,Post-graduate education
Male,26 to 35 years old,Secondary school/ high school completed
Female,18 to 25 years old,Technical school diploma or degree completed
Female,26 to 35 years old,University or college degree completed
Male,18 to 25 years old,University or college degree completed
Male,Over 45 years old,Secondary school/ high school completed
Female,Not Available,College or university
Female,36 to 45 years old,Secondary school/ high school completed
Female,Over 45 years old,Some secondary school / high school
Male,26 to 35 years old,University or college degree completed
Male,26 to 35 years old,Some university or college
Female,Over 45 years old,Post-graduate education
Male,Over 45 years old,Some university or college
Female,18 to 25 years old,Technical school diploma or degree completed
Female,26 to 35 years old,Post-graduate education
Female,Not Available,Prefer not to answer
Female,18 to 25 years old,Some university or college
Male,18 to 25 years old,Some technical education (e.g polytechnic school)
Male,18 to 25 years old,Secondary school/ high school completed
Male,18 to 25 years old,Secondary school/ high school completed
Male,36 to 45 years old,Some secondary school / high school
Female,26 to 35 years old,Technical school diploma or degree completed
Female,18 to 25 years old,Some university or college
Female,Over 45 years old,Technical school diploma or degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,18 to 25 years old,Some university or college
Female,26 to 35 years old,Some university or college
Female,Under 18,Prefer not to answer
Female,Not Available,College or university
Female,Over 45 years old,University or college degree completed
Female,18 to 25 years old,Some university or college
Female,Over 45 years old,Secondary school/ high school completed
Prefer not to answer,26 to 35 years old,University or college degree completed
Male,Not Available,Technical school
Male,36 to 45 years old,University or college degree completed
Male,Not Available,College or university
Male,18 to 25 years old,Some university or college
Female,Not Available,College or university
Female,Not Available,College or university
Male,Over 45 years old,University or college degree completed
Female,36 to 45 years old,Some university or college
Female,Not Available,College or university
Male,18 to 25 years old,Secondary school/ high school completed
Female,26 to 35 years old,University or college degree completed
Male,Over 45 years old,Technical school diploma or degree completed
Male,Over 45 years old,University or college degree completed
Female,Over 45 years old,University or college degree completed
Prefer not to answer,18 to 25 years old,Some university or college
Male,18 to 25 years old,Some technical education (e.g polytechnic school)
Male,26 to 35 years old,University or college degree completed
Male,36 to 45 years old,University or college degree completed
Female,36 to 45 years old,Some university or college
Male,Over 45 years old,Post-graduate education
Male,36 to 45 years old,Post-graduate education
Male,Not Available,Secondary/high school
Female,Over 45 years old,Technical school diploma or degree completed
Male,Over 45 years old,Some primary education
Male,26 to 35 years old,Post-graduate education
Male,Not Available,College or university
Female,26 to 35 years old,University or college degree completed
Female,26 to 35 years old,University or college degree completed
Male,18 to 25 years old,Some university or college
Female,36 to 45 years old,University or college degree completed
Female,Not Available,Post graduate
Male,Over 45 years old,University or college degree completed
Male,36 to 45 years old,University or college degree completed
Female,18 to 25 years old,Some university or college
Male,Not Available,College or university
Female,Over 45 years old,Post-graduate education
Male,26 to 35 years old,Secondary school/ high school completed
Male,18 to 25 years old,Technical school diploma or degree completed
Male,Over 45 years old,University or college degree completed
Female,18 to 25 years old,University or college degree completed
Female,Over 45 years old,Secondary school/ high school completed
Female,18 to 25 years old,Some university or college
Male,18 to 25 years old,Some secondary school / high school
Male,Over 45 years old,Secondary school/ high school completed
Male,36 to 45 years old,Some technical education (e.g polytechnic school)
Male,26 to 35 years old,Technical school diploma or degree completed
Female,Over 45 years old,University or college degree completed
Female,36 to 45 years old,University or college degree completed
Female,18 to 25 years old,Secondary school/ high school completed
Male,Over 45 years old,University or college degree completed
Male,36 to 45 years old,University or college degree completed
Female,36 to 45 years old,University or college degree completed
Female,18 to 25 years old,Some university or college
Female,Over 45 years old,Post-graduate education
Female,36 to 45 years old,Post-graduate education
Female,Not Available,College or university
Female,36 to 45 years old,Technical school diploma or degree completed
Female,26 to 35 years old,University or college degree completed
Female,Under 18,Secondary school/ high school completed
Male,Over 45 years old,Secondary school/ high school completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,Not Available,University or college degree completed
Male,Over 45 years old,Some secondary school / high school
Female,36 to 45 years old,University or college degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,26 to 35 years old,University or college degree completed
Male,18 to 25 years old,University or college degree completed
Female,18 to 25 years old,Technical school diploma or degree completed
Male,26 to 35 years old,Some university or college
Male,Over 45 years old,Some secondary school / high school
Male,Not Available,Secondary/high school
Female,36 to 45 years old,University or college degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Male,36 to 45 years old,Technical school diploma or degree completed
Female,18 to 25 years old,Technical school diploma or degree completed
Female,Over 45 years old,Some technical education (e.g polytechnic school)
Male,Not Available,Primary school
Female,18 to 25 years old,University or college degree completed
Female,18 to 25 years old,Some university or college
Male,18 to 25 years old,Secondary school/ high school completed
Female,26 to 35 years old,Some university or college
Male,26 to 35 years old,University or college degree completed
Male,36 to 45 years old,Technical school diploma or degree completed
Female,26 to 35 years old,Technical school diploma or degree completed
Female,26 to 35 years old,University or college degree completed
Male,18 to 25 years old,Some secondary school / high school
Male,36 to 45 years old,Technical school diploma or degree completed
Female,18 to 25 years old,Secondary school/ high school completed
Male,Over 45 years old,University or college degree completed
Female,36 to 45 years old,University or college degree completed
Female,26 to 35 years old,University or college degree completed
Female,26 to 35 years old,Some university or college
